ROAS Types,Post-Install Window,Target Developer Name,Advertiser Spend,Advertiser Spend (Compare: 1 week back),Net Revenue,Net Revenue (Compare: 1 week back),Starts,Starts (Compare: 1 week back),Installs,Installs (Compare: 1 week back),Average dCPI,Average dCPI (Compare: 1 week back),MMP eCPI,MMP eCPI (Compare: 1 week back),Unity Margin,Unity Margin (Compare: 1 week back)
,d28,Century Games-K1,$0.00,,$0.00,,0,,0,,,,NaN,,NaN,
,d7,Overall,$0.00,$0.00,$0.00,$0.00,246,10,11,3,$0.00,$0.00,0.00,0.00,NaN,NaN
,d7, unity-guru-go,$0.00,,$0.00,,0,,0,,,,NaN,,NaN,
,d7,24 HIT Riga,$0.00,,$0.00,,0,,0,,,,NaN,,NaN,
,d7,ABI GLOBAL LTD.,$0.00,,$0.00,,20,,0,,$0.00,,NaN,,NaN,
,d7,ACTIONFIT,$0.00,,$0.00,,0,,0,,,,NaN,,NaN,
,d7,AICHEMY LIMITED,$0.00,,$0.00,,1,,0,,$0.00,,NaN,,NaN,
,d7,AP Kefir,$0.00,,$0.00,,0,,0,,,,NaN,,NaN,
,d7,Adsball,$0.00,,$0.00,,0,,0,,,,NaN,,NaN,
,d7,AppQuantum,$0.00,,$0.00,,0,,0,,,,NaN,,NaN,
,d7,Azur Games UA,$0.00,,$0.00,,0,,0,,,,NaN,,NaN,
,d7,BITOOL PTE. LTD,$0.00,$0.00,$0.00,$0.00,0,0,0,0,,,NaN,NaN,NaN,NaN
