campaign_id,campaign_type,post_install_window,first_seen,last_seen,active_days,total_predictions
6a47a1a539ef6bd60b9a0801,,d7,2026-07-06,2026-08-03,29,1732804
6a47a1a539ef6bd60b9a0801,dep,d7,2026-07-06,2026-08-03,29,334253
