campaign_id,campaign_type,post_install_window,first_seen,last_seen,active_days,total_predictions
69cbfc4c22fd258244267df2,,d7,2026-07-01,2026-08-03,34,14084104
68f798a258390e554688c527,,d7,2026-07-01,2026-08-03,34,4484528
69cbfc4c22fd258244267df2,dep,d7,2026-07-01,2026-08-03,34,3365506
6a58d9d589bf002fb3aaa85f,,d28,2026-07-17,2026-08-03,18,1978603
68f798a258390e554688c527,dep,d7,2026-07-01,2026-08-03,34,1070921
6a3401f31def845836af50af,,d28,2026-07-01,2026-07-17,17,961765
6441702373c02b3e194de5fb,,d7,2026-07-01,2026-08-03,34,877022
68b6bf50c2880dddf21c722b,,d7,2026-07-01,2026-08-03,34,638992
6a33c9ff95e134d4ab63cbf7,,d7,2026-07-01,2026-07-12,12,498615
6441702373c02b3e194de5fb,dep,d7,2026-07-01,2026-08-03,34,213987
68b6bf50c2880dddf21c722b,dep,d7,2026-07-01,2026-08-03,34,163615
6a33c9ff95e134d4ab63cbf7,dep,d7,2026-07-01,2026-07-12,12,83684
6a58d9d589bf002fb3aaa85f,dep,d28,2026-07-17,2026-08-03,18,66828
6a3401f31def845836af50af,dep,d28,2026-07-01,2026-07-16,16,28268
6a33c9ff95e134d4ab63cbf7,adrev-depositor,d7,2026-07-01,2026-07-12,12,21629
