submit_date,campaign_id,target_game_id,app_event_model_version,sdk_event_name,start_count,avg_pred,avg_target_cpe,avg_cost
2026-05-21,667d2c2d9319a8b6f4297d45,500062793,unified-user-value-v11-cpe-lc-4-model,LEVEL_END_SUCCESS_30,2,0.7170377,2000000.0,1434075.5
2026-05-21,66979fe62a8aa5eaae0fb720,500182711,unified-user-value-tf2-levcom-bhv1p-1b-model,LEVEL_END_SUCCESS_20,145,0.22302843192413796,8000000.0,1784227.5379310353
2026-05-21,66979fe62a8aa5eaae0fb720,500182711,unified-user-value-tf2-levcom-ctx1r-1a-model,LEVEL_END_SUCCESS_20,961,0.15745186077523407,8000000.0,1259614.9302809574
2026-05-21,66979fe62a8aa5eaae0fb720,500182711,unified-user-value-v11-cpe-lc-4-model,LEVEL_END_SUCCESS_20,129,0.68922710837209289,8000000.0,5513817.0930232536
2026-05-21,6698807019cdf3177750e0ba,500182711,unified-user-value-tf2-levcom-bhv1p-1b-model,LEVEL_END_SUCCESS_20,34,0.26209562147058807,2500000.0,655239.08823529421
2026-05-21,6698807019cdf3177750e0ba,500182711,unified-user-value-tf2-levcom-ctx1r-1a-model,LEVEL_END_SUCCESS_20,74,0.23357544613513515,2500000.0,583938.64864864841
2026-05-21,66aa15e39edd6702436327d6,500182710,unified-user-value-tf2-levcom-bhv1p-1b-model,LEVEL_END_SUCCESS_20,188,0.24478852995212769,813829.787234043,203618.5372340426
2026-05-21,66aa15e39edd6702436327d6,500182710,unified-user-value-tf2-levcom-ctx1r-1a-model,LEVEL_END_SUCCESS_20,39,0.27107086502564104,948717.94871794863,259932.28205128206
2026-05-21,66aa15e39edd6702436327d6,500182710,unified-user-value-v11-cpe-lc-4-model,LEVEL_END_SUCCESS_20,3,0.22840017666666668,833333.33333333337,169799.66666666666
2026-05-21,66b33400b6cd21cd7ee4d2c4,500080073,unified-user-value-tf2-levcom-bhv1p-1b-model,LEVEL_END_SUCCESS_15,2265,0.28236624167637986,1200000.0,338839.49668874155
